                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.04548,                0.62947,                0.88877,                0.52592,                0.90504,                0.58405,                0.58303,                0.11671,                0.61401,                0.15569,             0.00062729,             0.00062729,             0.00062729
                     65,                0.04751,                0.64053,                0.89392,                0.51187,                0.92636,                0.57702,                0.57563,                0.12318,                0.63383,                0.16273,             0.00061079,             0.00061079,             0.00061079
                     66,                0.04425,                0.62954,                0.89188,                 0.5246,                0.92392,                0.60351,                0.60314,                0.11626,                 0.6371,                0.16184,             0.00059429,             0.00059429,             0.00059429
                     67,                0.04672,                0.63546,                0.89128,                0.52644,                0.85503,                0.58396,                0.58322,                0.11587,                0.65868,                0.15178,             0.00057778,             0.00057778,             0.00057778
                     68,                0.04571,                0.63226,                0.88439,                0.52518,                0.90891,                0.59154,                0.59136,                0.12118,                0.62818,                0.15567,             0.00056128,             0.00056128,             0.00056128
                     69,                0.04426,                 0.6332,                0.89115,                0.50737,                0.96899,                0.57448,                 0.5736,                0.11454,                0.65724,                0.14395,             0.00054478,             0.00054478,             0.00054478
                     70,                0.04112,                0.62855,                0.88909,                0.52445,                 0.8933,                0.59256,                0.59167,                0.11965,                 0.6235,                0.15034,             0.00052827,             0.00052827,             0.00052827
                     71,                0.04114,                0.62356,                 0.8877,                0.52522,                 0.8876,                0.61745,                0.61656,                0.10633,                0.63932,                0.13163,             0.00051177,             0.00051177,             0.00051177
                     72,                0.04182,                0.63132,                0.88982,                 0.5239,                0.91109,                0.60631,                0.60033,                0.11237,                 0.6242,                 0.1334,             0.00049527,             0.00049527,             0.00049527
                     73,                0.04036,                0.62853,                0.88982,                0.52087,                0.92248,                0.59141,                0.59076,                0.11519,                0.61902,                0.15228,             0.00047876,             0.00047876,             0.00047876
                     74,                0.04176,                0.63042,                 0.8922,                0.52869,                0.87403,                0.60546,                0.60503,                0.11649,                0.63949,                0.14798,             0.00046226,             0.00046226,             0.00046226
                     75,                0.04051,                0.61328,                0.89101,                0.52485,                0.89729,                0.60056,                0.57726,                0.12001,                0.66207,                0.12634,             0.00044576,             0.00044576,             0.00044576
                     76,                0.04149,                0.62363,                0.89063,                0.53314,                0.88566,                0.60858,                0.58388,                0.13976,                0.65314,                0.14139,             0.00042925,             0.00042925,             0.00042925
                     77,                0.03809,                0.61553,                0.88799,                0.52644,                 0.9026,                0.61358,                0.61092,                0.10602,                0.63186,                0.13587,             0.00041275,             0.00041275,             0.00041275
                     78,                    inf,                0.61597,                0.88618,                 0.5273,                 0.9031,                0.63502,                0.63153,                 0.1094,                0.61732,                0.13392,             0.00039625,             0.00039625,             0.00039625
                     79,                0.03683,                0.60512,                0.88847,                 0.5425,                0.86628,                0.63654,                0.63136,                0.12099,                0.63738,                 0.1333,             0.00037974,             0.00037974,             0.00037974
                     80,                0.03588,                0.61472,                0.88759,                0.52459,                0.89185,                0.62193,                0.61692,                0.11253,                0.65673,                0.13019,             0.00036324,             0.00036324,             0.00036324
                     81,                0.03687,                0.61292,                0.88738,                0.52998,                0.91667,                0.61226,                0.61135,                0.10782,                0.62719,                0.14091,             0.00034674,             0.00034674,             0.00034674
                     82,                0.03568,                0.61639,                0.88244,                0.52819,                0.89535,                0.61776,                0.61696,                0.11567,                 0.6314,                0.14697,             0.00033023,             0.00033023,             0.00033023
                     83,                    inf,                  0.605,                0.88856,                0.52491,                 0.9186,                  0.622,                0.61728,                0.12201,                0.63184,                0.14257,             0.00031373,             0.00031373,             0.00031373
                     84,                0.03246,                0.60447,                0.88751,                0.53206,                0.91037,                0.62276,                0.61965,                0.11286,                0.63132,                0.13504,             0.00029723,             0.00029723,             0.00029723
                     85,                0.03397,                0.60673,                0.88669,                0.53515,                0.91085,                0.65411,                0.64967,                0.10729,                0.63113,                0.12782,             0.00028072,             0.00028072,             0.00028072
